product_name,total_product_views,total_add_to_cart,total_purchases,sessions,users
Google Men's 100% Cotton Short Sleeve Hero Tee White,1251,499,100,13188,11540
YouTube Custom Decals,1018,228,36,20713,19539
Waterproof Backpack,754,99,34,8202,7378
Google Rucksack,723,76,28,7988,7205
Google Laptop Backpack,707,81,26,6305,5682
Google Men's Vintage Badge Tee Black,649,369,184,8045,7155
YouTube Twill Cap,618,220,48,22745,21273
Google Sunglasses,526,405,310,2470,2293
YouTube Men's Short Sleeve Hero Tee Black,477,170,29,19065,17997
YouTube Leatherette Notebook Combo,462,110,12,13009,12344
Google Men's  Zip Hoodie,434,159,54,5083,4533
Google Alpine Style Backpack,420,57,14,4802,4438
22 oz YouTube Bottle Infuser,415,121,34,22290,20873
Micro Wireless Earbud,411,54,4,4932,4620
26 oz Double Wall Insulated Bottle,395,138,72,5294,4744
Google Laptop and Cell Phone Stickers,381,235,98,5116,4699
Red Shine 15 oz Mug,344,181,86,4443,4090
Google Twill Cap,306,102,64,5768,5232
Keyboard DOT Sticker,298,59,30,4368,4062
25L Classic Rucksack,288,35,14,3210,2937
Google Tri-blend Hoodie Grey,277,66,30,3970,3528
Android Rise 14 oz Mug,274,94,30,5785,5300
YouTube Men's Short Sleeve Hero Tee Charcoal,271,97,22,18514,17519
YouTube RFID Journal,267,33,16,13066,12399
YouTube Men's Vintage Henley,259,92,26,25649,23756
Google Doodle Decal,257,114,78,5883,5427
Electronics Accessory Pouch,246,54,28,7830,7137
YouTube Hard Cover Journal,238,43,22,19602,18484
Clip-on Compact Charger,237,49,6,3327,3133
Google Men's Vintage Badge Tee White,235,142,102,5498,4933
Google Men's Watershed Full Zip Hoodie Grey,234,95,52,3981,3562
Google 22 oz Water Bottle,230,217,118,2510,2284
Google 17oz Stainless Steel Sport Bottle,222,104,40,6019,5457
Windup Android,209,103,52,5667,5187
Google Power Bank,204,27,24,3005,2838
Google Canvas Tote Natural/Navy,202,81,62,4414,4028
Google Women's Vintage Hero Tee Black,198,180,162,2317,2058
YouTube Men's Short Sleeve Hero Tee White,190,64,12,12285,11705
Google Men's Performance Full Zip Jacket Black,188,33,32,2931,2663
Google Blackout Cap,187,47,78,5197,4726
Android Sticker Sheet Ultra Removable,185,87,28,6540,5964
YouTube Men's Vintage Tank,177,54,16,25602,23720
Sport Bag,176,58,54,4922,4461
Android Wool Heather Cap Heather/Black,176,69,22,6619,5996
Google Lunch Bag,173,39,16,6192,5617
Android Men's Engineer Short Sleeve Tee Charcoal,172,56,8,6996,6236
Google Men's Vintage Badge Tee Sage,163,138,118,5519,4952
Collapsible Shopping Bag,159,68,50,4441,4054
20 oz Stainless Steel Insulated Tumbler,152,33,16,3147,2893
Leatherette Journal,151,76,70,1595,1440
Google Kick Ball,151,66,54,2866,2629
Google Slim Utility Travel Bag,150,40,38,4541,4135
Google 17 oz Double Wall Stainless Steel Insulated Bottle,148,55,26,2975,2739
Google Vintage Henley Grey/Black,145,149,20,7941,7079
Google Women's Vintage Hero Tee White,142,100,60,2328,2073
Waterproof Gear Bag,138,52,26,3861,3545
Google Metallic Notebook Set,138,51,32,1422,1293
Google G Noise-reducing Bluetooth Headphones,136,37,10,3634,3413
Basecamp Explorer Powerbank Flashlight,134,33,16,5359,4980
Recycled Mouse Pad,133,85,54,4279,4017
Google Water Resistant Bluetooth Speaker,128,30,14,3230,3062
23 oz Wide Mouth Sport Bottle,123,38,20,4281,3886
Suitcase Organizer Cubes,123,22,18,7432,6693
Google Women's Short Sleeve Hero Tee Black,122,103,36,3639,3194
YouTube Men's Fleece Hoodie Black,120,123,66,1308,1189
22 oz Android Bottle,119,54,36,5681,5155
Google Flashlight,118,6,0,5284,4914
8 pc Android Sticker Sheet,118,69,26,5386,4929
Foam Can and Bottle Cooler,115,68,92,4988,4537
Seat Pack Organizer,114,28,16,5407,4927
Google Tube Power Bank,113,15,10,2978,2816
Women's YouTube Short Sleeve Hero Tee Black,112,37,0,12094,11552
Android 17oz Stainless Steel Sport Bottle,109,40,26,5320,4826
Google 5-Panel Snapback Cap,107,21,36,5168,4707
Google Car Clip Phone Holder,105,38,22,4923,4575
You Tube Toddler Short Sleeve Tee Red,105,12,4,7051,6637
Switch Tone Color Crayon Pen,103,43,24,4705,4306
Google Women's Scoop Neck Tee Black,99,78,92,2289,2039
Rubber Grip Ballpoint Pen 4 Pack,99,77,68,3554,3233
Maze Pen,98,48,4,1023,952
Google Snapback Hat Black,98,41,38,7631,6859
Google RFID Journal,96,42,52,1586,1448
Google 5-Panel Cap,95,17,12,5093,4640
1 oz Hand Sanitizer,90,37,16,5205,4763
YouTube Youth Short Sleeve Tee Red,89,41,20,1018,917
Pen Pencil & Highlighter Set,89,40,26,1127,1047
Plastic Sliding Flashlight,88,32,24,4272,4006
Satin Black Ballpoint Pen,87,27,24,2548,2346
Google Women's Fleece Hoodie,86,23,8,1833,1700
Android Lunch Kit,86,31,8,4823,4444
Google 25 oz Red Stainless Steel Bottle,85,22,12,2525,2296
Badge Holder,85,36,34,983,945
Spiral Notebook and Pen Set,84,36,60,1674,1511
Google Men's Pullover Hoodie Grey,84,41,22,1859,1720
YouTube Men's Long & Lean Tee Charcoal,83,50,18,6571,6219
Google Men's Quilted Insulated Vest Black,83,43,34,2084,1897
Android Men's Vintage Henley,82,34,24,8619,7695
Google Tote Bag,80,20,8,2266,2081
Google Onesie Red/Graphite,80,51,16,710,632
Google Toddler Short Sleeve Tee Red,79,33,16,926,844